germline	S103409	17.0
S103409	S25174	3.0
S25174	S52385	3.0
S25174	S65161	3.0
S25174	S232397	3.0
S25174	S47823	3.0
S25174	S56745	3.0
S25174	S63170	3.0
S25174	S56548	4.0
S25174	S98072	4.0
S65161	S89248	5.0
S25174	S46903	6.0
S25174	S69207	6.0
S69207	S125898	3.0
S125898	S26060	1.0
S69207	S115398	3.0
S25174	S111120	6.0
S25174	S241	7.0
S241	S256126	3.0
S241	S234156	5.0
S256126	S79749	5.0
S69207	S88286	7.0
S69207	S55926	8.0
S25174	S97265	9.0
S241	S82333	10.0
S52385	S102458	10.0
S25174	S27002	10.0
S25174	S66978	17.0
S69207	S63797	17.0
S69207	S103681	21.0
